val,date,n,SMA30,SMA60,SMA90,SMA180,EMA,EMA0.3
85.6324587926816,2017-12-18,1,85.6324587926816,85.6324587926816,85.6324587926816,85.6324587926816,85.6324587926816,85.6324587926816
177.95343034890658,2017-12-19,2,131.79294457079408,131.79294457079408,131.79294457079408,131.79294457079408,94.86455594830412,113.32875025954908
288.99854177392064,2017-12-20,3,184.19481030516963,184.19481030516963,184.19481030516963,184.19481030516963,114.27795453086577,166.02968771386054
94.33474300840338,2017-12-21,4,161.72979348097806,161.72979348097806,161.72979348097806,161.72979348097806,112.28363337861953,144.5212043022234
1289.5305344080202,2017-12-22,5,387.2899416663865,387.2899416663865,387.2899416663865,387.2899416663865,230.00832348155961,488.02400333396247
273.8243793274335,2017-12-23,6,368.37901460989434,368.37901460989434,368.37901460989434,368.37901460989434,234.389929066147,423.7641161320038
230.55036565393883,2017-12-24,7,348.6892076161865,348.6892076161865,348.6892076161865,348.6892076161865,234.0059727249262,365.7999909885842
214.76595453002892,2017-12-25,8,331.94880098041676,331.94880098041676,331.94880098041676,331.94880098041676,232.0819709054365,320.48978005101765
96.90421214760772,2017-12-26,9,305.8327355545491,305.8327355545491,305.8327355545491,305.8327355545491,218.5641950296536,253.41410967999465
121.13708920336764,2017-12-27,10,287.36317091943096,287.36317091943096,287.36317091943096,287.36317091943096,208.821484447025,213.73100353700653
234.18129288862565,2017-12-28,11,282.5284547348123,282.5284547348123,282.5284547348123,282.5284547348123,211.35746529118506,219.86609034249227
144.03554289560086,2017-12-29,12,270.98737874821137,270.98737874821137,270.98737874821137,270.98737874821137,204.62527305162664,197.11692610842485
270.6559677712808,2017-12-30,13,270.9618855961398,270.9618855961398,270.9618855961398,270.9618855961398,211.22834252359206,219.17863860728164
91.91849340521964,2017-12-31,14,258.1730718682169,258.1730718682169,258.1730718682169,258.1730718682169,199.29735761175482,181.00059504666302
172.54053446769043,2018-01-01,15,252.46423604151514,252.46423604151514,252.46423604151514,252.46423604151514,196.6216752973484,178.46257687297123
306.8159782237145,2018-01-02,16,255.8612199279026,255.8612199279026,255.8612199279026,255.8612199279026,207.64110558998502,216.9685972781942
237.37754369871936,2018-01-03,17,254.77394485559768,254.77394485559768,254.77394485559768,254.77394485559768,210.61474940085844,223.09128120435176
196.73423107068186,2018-01-04,18,251.54951631199123,251.54951631199123,251.54951631199123,251.54951631199123,209.2266975678408,215.18416616425077
171.97993849307574,2018-01-05,19,247.3616437952062,247.3616437952062,247.3616437952062,247.3616437952062,205.5020216603643,202.22289786289824
72.5792295829807,2018-01-06,20,238.62252308459492,238.62252308459492,238.62252308459492,238.62252308459492,192.20974245262596,163.32979737892296
227.43821847660197,2018-01-07,21,238.08993715088096,238.08993715088096,238.08993715088096,238.08993715088096,195.73259005502356,182.56232370822664
330.4342318388545,2018-01-08,22,242.2874050912434,242.2874050912434,242.2874050912434,242.2874050912434,209.20275423340667,226.92389614741498
